system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
0_0,2609.0,1993.0,652.0,838.0,982.0,1320.0,1535.0,1688.0,1893.0,1746.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63471210748341,35.61038567236719]}"
1_0,2946.0,2073.0,849.0,1030.0,1180.0,1447.0,1684.0,1982.0,2135.0,1932.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6158474865169,35.58074126799124]}"
2_0,3671.0,2841.0,1120.0,1418.0,1794.0,2222.0,2390.0,2532.0,2766.0,2564.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52547696893448,35.80855402404395]}"
4_0,2300.0,1591.0,1072.0,1032.0,1056.0,1250.0,1282.0,1341.0,1486.0,1716.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35066481464482,35.67775931867615]}"
5_0,3482.0,2553.0,922.5,1246.0,1627.0,2051.5,2262.5,2448.5,2714.0,2525.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74035398489586,35.51157099111404]}"
6_0,2562.0,1976.0,654.0,760.0,918.0,1149.0,1271.0,1376.0,1607.0,1438.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46367287738705,35.804601436793824]}"
7_0,2088.0,1524.0,769.0,898.0,1002.0,1296.0,1422.0,1525.0,1712.0,1526.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47606962830791,35.74944487834889]}"
8_0,1735.0,1249.0,330.0,360.0,477.0,569.0,645.0,745.0,857.0,788.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65106144565439,35.76417724900845]}"
9_0,3533.0,2518.0,880.0,1146.0,1648.0,1949.0,2103.0,2278.0,2604.0,2430.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.687101797630994]}"
11_0,3152.0,2471.0,1250.0,1470.0,1672.0,2019.0,2171.0,2290.0,2463.0,2430.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47966288944438,35.73668880131439]}"
13_0,2470.0,1844.0,660.0,896.0,1086.0,1388.0,1665.0,1820.0,1975.0,1866.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65357672844992,35.662308295789295]}"
14_0,3520.0,2774.0,922.0,1092.0,1302.0,1638.0,1829.0,1955.0,2243.0,2076.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50948695687715,35.82652032972634]}"
16_0,3529.0,2583.0,1120.0,1488.0,1860.0,2322.0,2635.0,2861.0,3117.0,2596.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6496241411998,35.47977063005621]}"
20_0,4513.0,3302.0,1094.0,1412.0,1918.0,2205.0,2454.0,2668.0,2962.0,2798.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48559177031957,35.79112670753204]}"
