pixel_id,label,class_name,zone,split,time_step,DOY,year,is_missing,B2_Blue,B3_Green,B4_Red,B5_RedEdge1,B6_RedEdge2,B7_RedEdge3,B8_NIR,B8A_RedEdge4,B11_SWIR1,B12_SWIR2,.geo
0,1,Grapes,CA_Zone1,test,32,320,2021,0,0.0371,0.0483,0.0394,0.069,0.1321,0.1448,0.1398,0.1477,0.0969,0.0529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56159629880085,39.43770285612261]}"
1,1,Grapes,CA_Zone1,train,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02187271110369]}"
2,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02106422734798]}"
3,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02106422734798]}"
4,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62546651550176,39.02133372193322]}"
5,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57129810386935,39.07819707941798]}"
6,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02133372193322]}"
7,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63193438554741,39.031305021586945]}"
8,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02160321651845]}"
9,1,Grapes,CA_Zone1,test,32,320,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6235800534051,39.02160321651845]}"
