pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000000,Corn,1,-90.63471146921022,35.610385471919834,5.7,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.60458175261258]}"
00000000000000000001,Corn,1,-90.61584947175415,35.58074136811653,6.3,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.55966598840661]}"
00000000000000000002,Corn,1,-90.52547687070395,35.80855238183603,6.1,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.82916057364246]}"
00000000000000000003,Corn,1,-90.5279918036981,35.62996984374657,6.1,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.649497516818556]}"
00000000000000000004,Corn,1,-90.35066673210572,35.67775802973635,6.2,24,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.37059252697475,35.69441328102453]}"
00000000000000000005,Corn,1,-90.74035203226741,35.511571792575474,5.5,15,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.514750224200625]}"
00000000000000000006,Corn,1,-90.4636737301032,35.80460161830268,6.1,12,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.78424480943649]}"
00000000000000000007,Corn,1,-90.47607003103177,35.7494469973726,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000008,Corn,1,-90.6510629927732,35.764175408152134,5.9,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.78424480943649]}"
00000000000000000009,Corn,1,-90.6287853239102,35.68709984644332,5.9,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.69441328102453]}"
0000000000000000000a,Corn,1,-90.50337756588307,35.58954363359603,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
0000000000000000000b,Corn,1,-90.47966406648085,35.73668950925869,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
0000000000000000000c,Corn,1,-90.56967548034572,35.598885450303,6.2,21,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.60458175261258]}"
0000000000000000000d,Corn,1,-90.65357792576735,35.66230724458615,5.7,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.649497516818556]}"
0000000000000000000e,Corn,1,-90.5094865343263,35.82652255908141,6.1,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.82916057364246]}"
0000000000000000000f,Corn,1,-90.47858496402591,35.5917018385059,5.8,27,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.60458175261258]}"
00000000000000000010,Corn,1,-90.64962270313293,35.4797694838623,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
00000000000000000011,Corn,1,-90.50859025501455,35.57858316320666,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
00000000000000000012,Corn,1,-90.50751115255962,35.57858316320666,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
00000000000000000013,Corn,1,-90.50589249887722,35.577865247937055,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
00000000000000000014,Corn,1,-90.48559021178087,35.79112621491916,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.78424480943649]}"
00000000000000000015,Corn,1,-90.5272738884285,35.56511221892419,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
00000000000000000016,Corn,1,-90.55152693905818,35.75501641458835,6.0,13,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.739329045230505]}"
00000000000000000017,Corn,1,-90.58674046007725,35.79184413018877,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.78424480943649]}"
00000000000000000018,Corn,1,-90.56374487594464,35.59906827344619,6.2,21,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.60458175261258]}"
00000000000000000019,Corn,1,-90.56643817298091,35.56026071697805,6.3,21,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.55966598840661]}"
0000000000000000001a,Corn,1,-90.53823435881786,35.83352780683637,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.82916057364246]}"
0000000000000000001b,Corn,1,-90.71070792846409,35.75663060916971,5.9,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.739329045230505]}"
0000000000000000001c,Corn,1,-90.49870888708011,35.566369685421265,6.2,24,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.55966598840661]}"
0000000000000000001d,Corn,1,-90.33521594695553,35.728422335905606,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
0000000000000000001e,Corn,1,-90.55080902378857,35.829037492075564,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.82916057364246]}"
0000000000000000001f,Corn,1,-90.39432133141895,35.67254979970592,5.9,27,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41550829118073,35.69441328102453]}"
00000000000000000020,Corn,1,-90.61602783579627,35.75357612494809,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.739329045230505]}"
00000000000000000021,Corn,1,-90.46259462764826,35.8306516866569,6.0,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.82916057364246]}"
00000000000000000022,Corn,1,-90.58746283444792,35.84340917477081,6.0,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.82916057364246]}"
00000000000000000023,Corn,1,-90.47966406648085,35.72878352309093,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000024,Corn,1,-90.4724759955827,35.57732569670958,6.1,25,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.55966598840661]}"
00000000000000000025,Corn,1,-90.46870359609149,35.83730020632759,6.0,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.82916057364246]}"
00000000000000000026,Corn,1,-90.47768868471417,35.73219919449787,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000027,Corn,1,-90.48181781228966,35.72285291868985,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000028,Corn,1,-90.50463503238015,35.716565586204496,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000029,Corn,1,-90.63201817217393,35.60212275766781,5.7,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.60458175261258]}"
0000000000000000002a,Corn,1,-90.71484151514063,35.59062273605097,5.8,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.60458175261258]}"
0000000000000000002b,Corn,1,-90.59123523393912,35.59708843257846,6.2,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.60458175261258]}"
0000000000000000002c,Corn,1,-90.64045925046811,35.771903030277755,5.9,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.78424480943649]}"
0000000000000000002d,Corn,1,-90.3086218682728,35.81448298623712,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.82916057364246]}"
0000000000000000002e,Corn,1,-90.23298659620424,35.54265172691799,6.1,41,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.55966598840661]}"
0000000000000000002f,Corn,1,-90.4893626112721,35.673807266203,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000030,Corn,1,-90.63183534903074,35.58145928338613,5.8,19,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.55966598840661]}"
00000000000000000031,Corn,1,-90.32623085833283,35.723575293060506,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
00000000000000000032,Corn,1,-90.50553577079295,35.75968509339131,6.2,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.739329045230505]}"
