pixel_id,class_name,zone,elevation,landforms,.geo
AR_Z1_00000,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63479119363059,35.61047468316603]}"
AR_Z1_00001,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61592657266408,35.58083027879009]}"
AR_Z1_00002,Corn,1,70,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52537639202482,35.80855320331439]}"
AR_Z1_00003,Corn,1,65,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52807133787718,35.62987829330301]}"
AR_Z1_00004,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.350743900792,35.677848329475]}"
AR_Z1_00005,Corn,1,77,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74043307104304,35.51157017038447]}"
AR_Z1_00006,Corn,1,67,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46366213200582,35.80451078453585]}"
AR_Z1_00007,Corn,1,65,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47605888292667,35.749533889147735]}"
AR_Z1_00008,Corn,1,71,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65096086874473,35.764086596750474]}"
AR_Z1_00009,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6288623127554,35.68701114537301]}"
AR_Z1_00010,Corn,1,58,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50327783603548,35.58945410551763]}"
AR_Z1_00011,Corn,1,66,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47956231253472,35.73659814905641]}"
AR_Z1_00012,Corn,1,66,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5695735040035,35.598886416000894]}"
AR_Z1_00013,Corn,1,70,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6536558145971,35.66221764353132]}"
AR_Z1_00014,Corn,1,69,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50947621149591,35.82660934052519]}"
AR_Z1_00015,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4784843341938,35.59161006219952]}"
AR_Z1_00016,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64961339581856,35.47976980932664]}"
AR_Z1_00017,Corn,1,61,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5086677277402,35.5786743221082]}"
AR_Z1_00018,Corn,1,62,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50758974939926,35.5786743221082]}"
AR_Z1_00019,Corn,1,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50597278188785,35.577865838352494]}"
AR_Z1_00020,Corn,1,68,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48549119340991,35.791036055274056]}"
AR_Z1_00021,Corn,1,65,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52726285412147,35.56519959284641]}"
AR_Z1_00022,Corn,1,68,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55151736679271,35.75492378085245]}"
AR_Z1_00023,Corn,1,71,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5868211574586,35.79184453902977]}"
AR_Z1_00024,Corn,1,64,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.56364462312831,35.59915591058613]}"
AR_Z1_00025,Corn,1,62,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.56633956898068,35.56034869031216]}"
AR_Z1_00026,Corn,1,73,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53831213211615,35.83361619974132]}"
AR_Z1_00027,Corn,1,76,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7107886666671,35.75654074836386]}"
AR_Z1_00028,Corn,1,64,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49869642808648,35.56627757118735]}"
AR_Z1_00029,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3351132148483,35.72851331149934]}"
AR_Z1_00030,Corn,1,70,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.550708883037,35.82903479179231]}"
AR_Z1_00031,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.39440202360021,35.672458437770274]}"
AR_Z1_00032,Corn,1,68,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61592657266408,35.75357630792627]}"
AR_Z1_00033,Corn,1,69,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46258415366488,35.83065175930373]}"
AR_Z1_00034,Corn,1,70,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58736014662908,35.84331800480982]}"
AR_Z1_00035,Corn,1,64,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47956231253472,35.728782806084574]}"
AR_Z1_00036,Corn,1,62,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4725554533186,35.57732684918202]}"
AR_Z1_00037,Corn,1,73,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46878252912529,35.83738912393463]}"
AR_Z1_00038,Corn,1,66,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47767585043808,35.73228623569264]}"
AR_Z1_00039,Corn,1,66,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48171826921661,35.722853925209385]}"
AR_Z1_00040,Corn,1,66,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50462530896166,35.716655549748964]}"
AR_Z1_00041,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63209624777822,35.60212035102372]}"
AR_Z1_00042,Corn,1,83,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71483108544564,35.59053208385858]}"
AR_Z1_00043,Corn,1,68,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59113307082238,35.59699995390424]}"
AR_Z1_00044,Corn,1,71,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64045057992054,35.77190193972231]}"
AR_Z1_00045,Corn,1,68,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3087027454952,35.81448208418958]}"
AR_Z1_00046,Corn,1,65,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23297476704393,35.542562047686594]}"
AR_Z1_00047,Corn,1,66,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48926411760323,35.67380591069646]}"
AR_Z1_00048,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.631826753193,35.581369267960554]}"
AR_Z1_00049,Corn,1,66,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32621989353552,35.72366240896509]}"
AR_Z1_00050,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50543379271737,35.759774683386695]}"
AR_Z1_00051,Corn,1,63,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60002639213516,35.6425445388091]}"
AR_Z1_00052,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27959733028973,35.79426999029688]}"
AR_Z1_00053,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61323162681171,35.623410423257354]}"
AR_Z1_00054,Corn,1,64,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65042187957427,35.49162757107702]}"
AR_Z1_00055,Corn,1,67,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51594408154158,35.78726313108075]}"
AR_Z1_00056,Corn,1,74,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74878740318535,35.554958798607444]}"
AR_Z1_00057,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49303704179653,35.68620266161731]}"
AR_Z1_00058,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3973664640378,35.62071547740499]}"
AR_Z1_00059,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65581177127898,35.69455699375962]}"
AR_Z1_00060,Corn,1,62,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4792928179495,35.58945410551763]}"
AR_Z1_00061,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59032458706668,35.67677035113405]}"
AR_Z1_00062,Corn,1,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50381682520596,35.59699995390424]}"
AR_Z1_00063,Corn,1,66,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31570960471133,35.72851331149934]}"
AR_Z1_00064,Corn,1,70,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65554227669375,35.71988948477179]}"
AR_Z1_00065,Corn,1,71,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4876471500918,35.82202793257618]}"
AR_Z1_00066,Corn,1,64,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55124787220747,35.67353641611122]}"
AR_Z1_00067,Corn,1,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49034209594417,35.675153383622636]}"
AR_Z1_00068,Corn,1,66,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30331285379049,35.573823419573955]}"
AR_Z1_00069,Corn,1,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55771574225312,35.6282613257916]}"
AR_Z1_00070,Corn,1,65,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5649920960545,35.71584706599325]}"
AR_Z1_00071,Corn,1,67,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49384552555223,35.77378840181896]}"
AR_Z1_00072,Corn,1,81,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7431280168954,35.77244092889278]}"
AR_Z1_00073,Corn,1,81,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7183345150537,35.60481529687608]}"
AR_Z1_00074,Corn,1,70,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6566202550347,35.66221764353132]}"
AR_Z1_00075,Corn,1,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49195906345558,35.573553924988715]}"
AR_Z1_00076,Corn,1,76,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75094335986724,35.55037739065844]}"
AR_Z1_00077,Corn,1,66,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26935653605076,35.47734435805952]}"
AR_Z1_00078,Corn,1,62,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63101826943728,35.49189706566226]}"
