pixel_id,label,class_name,zone,split,soil_ph,soil_clay,soil_organic,.geo
0,1,Grapes,CA_Zone2,test,7.5,21.7,27.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20408897736077,36.843896550512916]}"
1,1,Grapes,CA_Zone2,test,7.4,23.9,34.9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12406099142417,36.879103726792074]}"
6,1,Grapes,CA_Zone2,test,7.7,32.6,24.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.49257153337805,36.62398927643199]}"
7,1,Grapes,CA_Zone2,test,7.7,19.5,31.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08068971667537,36.74710818445989]}"
8,1,Grapes,CA_Zone2,test,7.9,18.8,29.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00943368935165,36.60640689975616]}"
9,1,Grapes,CA_Zone2,test,7.6,29.6,26.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.24912364497817,36.82849532624734]}"
10,1,Grapes,CA_Zone2,test,7.9,18.8,29.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05574933490931,36.648167505735806]}"
11,1,Grapes,CA_Zone2,test,7.5,20.4,32.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01204195031141,36.791097200438934]}"
12,1,Grapes,CA_Zone2,test,7.7,22.1,28.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21334419953584,36.83289555715385]}"
14,1,Grapes,CA_Zone2,test,7.6,22.2,28.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21122788181071,36.83949608182729]}"
17,1,Grapes,CA_Zone2,test,7.3,20.9,31.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03367633072364,36.84829711434319]}"
18,1,Grapes,CA_Zone2,test,7.6,21.3,28.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21479738250274,36.837295883157836]}"
19,1,Grapes,CA_Zone2,test,7.7,20.4,25.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0573850052168,36.59102355567878]}"
21,1,Grapes,CA_Zone2,test,7.6,45.1,22.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.47428308546718,36.76030389372915]}"
22,1,Grapes,CA_Zone2,test,7.6,22.3,35.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.10450863634426,36.83289555715385]}"
23,1,Grapes,CA_Zone2,test,7.7,32.7,24.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13949581947294,36.61080235268153]}"
26,1,Grapes,CA_Zone2,test,7.4,21.6,36.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.062482141039,36.88350505245961]}"
27,1,Grapes,CA_Zone2,test,7.6,22.1,28.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19690664146249,36.83949608182729]}"
28,1,Grapes,CA_Zone2,test,7.6,22.1,29.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0822461536696,36.81309526669504]}"
29,1,Grapes,CA_Zone2,test,7.7,26.3,27.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.22034130032263,36.79329690024243]}"
30,1,Grapes,CA_Zone2,test,7.5,21.8,33.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.06373578004457,36.843896550512916]}"
32,1,Grapes,CA_Zone2,test,7.9,20.4,25.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00299157416471,36.608604614451274]}"
36,1,Grapes,CA_Zone2,test,7.7,26.9,27.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.22391266085626,36.791097200438934]}"
38,1,Grapes,CA_Zone2,test,7.8,22.0,26.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12074579313287,36.69433386804991]}"
42,1,Grapes,CA_Zone2,test,7.6,22.2,32.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15200918310927,36.881304377712695]}"
43,1,Grapes,CA_Zone2,test,7.7,17.4,24.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01353632333247,36.516320832268974]}"
44,1,Grapes,CA_Zone2,test,8.0,20.5,27.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01011998971231,36.613000114449285]}"
46,1,Grapes,CA_Zone2,test,7.7,20.9,23.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01081422857617,36.498747661746414]}"
47,1,Grapes,CA_Zone2,test,7.8,21.3,26.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0645117962805,36.59541867922628]}"
49,1,Grapes,CA_Zone2,test,7.6,27.1,25.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04109572184713,36.5624575446459]}"
50,1,Grapes,CA_Zone2,test,7.6,28.7,20.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13077867341272,36.67234858787871]}"
51,1,Grapes,CA_Zone2,test,7.6,35.7,25.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.29635671579868,36.82409519041948]}"
53,1,Grapes,CA_Zone2,test,7.7,21.3,29.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.17469862968052,36.837295883157836]}"
57,1,Grapes,CA_Zone2,test,7.5,32.7,27.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.35341036827522,36.89670960142612]}"
58,1,Grapes,CA_Zone2,test,7.7,22.2,28.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1868223385051,36.82629524644975]}"
61,1,Grapes,CA_Zone2,test,7.6,30.5,27.1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.26701264500322,36.82629524644975]}"
64,1,Grapes,CA_Zone2,test,7.6,22.6,31.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13229289413415,36.791097200438934]}"
65,1,Grapes,CA_Zone2,test,7.7,18.5,26.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03174733058049,36.573444001962386]}"
66,1,Grapes,CA_Zone2,test,7.5,23.0,28.3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05145616712453,36.810895353219074]}"
68,1,Grapes,CA_Zone2,test,7.8,25.0,25.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.18377973073893,36.77350045607942]}"
69,1,Grapes,CA_Zone2,test,7.7,22.3,24.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01015328102835,36.49215810927501]}"
