pixel_id,label,class_name,zone,split,elevation,landforms,.geo
0,1,Grapes,CA_Zone2,test,61,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2056235478054,36.84449038896102]}"
1,1,Grapes,CA_Zone2,test,71,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1266616343313,36.880333168797385]}"
6,1,Grapes,CA_Zone2,test,91,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.49155730274065,36.62377432365285]}"
7,1,Grapes,CA_Zone2,test,70,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.07950008191503,36.74720284369087]}"
8,1,Grapes,CA_Zone2,test,65,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00835351141276,36.60625717561252]}"
9,1,Grapes,CA_Zone2,test,54,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25035964895456,36.828320713846864]}"
10,1,Grapes,CA_Zone2,test,63,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05578455841427,36.648837320079785]}"
11,1,Grapes,CA_Zone2,test,80,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01131795185034,36.791399955669554]}"
12,1,Grapes,CA_Zone2,test,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21397787994772,36.83209363804017]}"
14,1,Grapes,CA_Zone2,test,60,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21047445033965,36.839639486426776]}"
17,1,Grapes,CA_Zone2,test,76,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.03368600242493,36.84826331315432]}"
18,1,Grapes,CA_Zone2,test,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21559484745913,36.83721403515965]}"
19,1,Grapes,CA_Zone2,test,58,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05659304216996,36.59143497342455]}"
21,1,Grapes,CA_Zone2,test,66,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.47484863845602,36.760677572952666]}"
22,1,Grapes,CA_Zone2,test,69,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.10537156209767,36.83344111096635]}"
23,1,Grapes,CA_Zone2,test,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.13905838525216,36.61056908897629]}"
26,1,Grapes,CA_Zone2,test,78,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.06171343928946,36.88329760923499]}"
27,1,Grapes,CA_Zone2,test,60,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19753871024832,36.838831002671064]}"
28,1,Grapes,CA_Zone2,test,73,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08273401693785,36.814037500829365]}"
29,1,Grapes,CA_Zone2,test,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.2207152445786,36.793286417766204]}"
30,1,Grapes,CA_Zone2,test,78,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.06386939597134,36.843412410620076]}"
32,1,Grapes,CA_Zone2,test,64,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00485008180469,36.60895212146488]}"
36,1,Grapes,CA_Zone2,test,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.22341019043097,36.79086096649908]}"
38,1,Grapes,CA_Zone2,test,66,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12100224804135,36.69411241039941]}"
42,1,Grapes,CA_Zone2,test,68,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15172463075822,36.88141114713833]}"
43,1,Grapes,CA_Zone2,test,58,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01482138145842,36.516245984143744]}"
